50761;100;Agrimonia eupatoria subsp. eupatoria
50758;102;Agrimonia procera
50763;7144;Agrimonia repens
50756;90095;Agrimonia x wirtgenii
39695;61357;Agropyron
39696;6542;Agropyron cristatum
39697;20147;Agropyron cristatum subsp. pectinatum
41379;60669;Agrostemma
41382;116;Agrostemma githago
41381;93572;Agrostemma gracile
39902;61358;Agrostis
39908;118;Agrostis alpina
39904;117;Agrostis alpina agg.
39962;121;Agrostis canina
39954;120;Agrostis canina agg.
39939;20178;Agrostis capillaris
39947;90100;Agrostis capillaris x vinealis
39930;123;Agrostis castellana
39912;128;Agrostis gigantea
39914;29008;Agrostis gigantea subsp. gigantea
39967;90101;Agrostis gigantea x stolonifera
39952;124;Agrostis rupestris
39950;125;Agrostis scabra
39906;119;Agrostis schleicheri
39935;126;Agrostis schraderiana
39915;129;Agrostis stolonifera
39910;127;Agrostis stolonifera agg.
39918;6549;Agrostis stolonifera subsp. maritima
39921;6550;Agrostis stolonifera subsp. stolonifera
39934;90103;Agrostis stolonifera x vinealis
39956;20684;Agrostis vinealis
39948;90104;Agrostis x bjoerkmanii
39968;90105;Agrostis x castriferrei
39932;90106;Agrostis x hegetschweileri
39927;13337;Agrostis x murbeckii
56060;94041;Ahnfeltia
56061;90107;Ahnfeltia plicata
52778;61227;Ailanthus
52780;131;Ailanthus altissima
40320;61359;Aira
40322;26920;Aira caryophyllea s. l.
40324;20218;Aira caryophyllea subsp. caryophyllea
40326;30254;Aira caryophyllea subsp. plesiantha
40330;20225;Aira elegantissima
40331;136;Aira praecox
42205;60168;Aizoaceae
47726;60945;Ajuga
47732;137;Ajuga chamaepitys
47735;29654;Ajuga chamaepitys subsp. chamaepitys
47739;138;Ajuga genevensis
47737;140;Ajuga pyramidalis
47741;141;Ajuga reptans
47728;90113;Ajuga x adulterina
47730;10026;Ajuga x hampeana
47743;50002;Ajuga x hybrida
53115;60383;Akaniaceae
53012;61523;Alcea
53013;143;Alcea rosea
50605;61159;Alchemilla
50747;27574;Alchemilla aggregata
50615;20239;Alchemilla alpigena
50633;145;Alchemilla alpina
50631;144;Alchemilla alpina agg.
50651;32203;Alchemilla baltica
50710;29194;Alchemilla carniolica
50655;192;Alchemilla colorata
50673;215;Alchemilla compta
50607;154;Alchemilla conjuncta agg.
50740;216;Alchemilla connivens
50708;218;Alchemilla coriacea
50743;219;Alchemilla crinita
50690;222;Alchemilla cymatophylla
50745;223;Alchemilla decumbens
